year	avg. votes	avg. rating
1894	212.0	5.4
1896	20.0	4.0
1897	289.5	4.8
1898	24.0	3.6
1899	54.0	3.6
1900	30.5	5.4
1901	30.0	5.2
1902	71.0	3.3
1903	350.5	5.2
1904	357.0	5.3
1905	27.77777777777778	4.7
1906	153.85714285714286	3.5
1907	26.076923076923077	4.1
1908	24.833333333333332	4.5
1909	18.612903225806452	4.6
1910	25.916666666666668	4.9
1911	100.96491228070175	4.9
1912	69.0	5.6
1913	147.51785714285714	5.7
1914	140.01990049751242	5.8
1915	209.0281124497992	5.9
1916	140.83766233766235	5.9
1917	77.09567901234568	5.8
1918	89.2671009771987	6.0
1919	182.20474777448072	6.0
1920	402.77575757575755	5.8
1921	610.5957446808511	6.1
1922	621.3576158940398	6.0
1923	281.61682242990656	6.1
1924	501.2073170731707	6.2
1925	729.2144522144522	6.1
1926	426.0468085106383	6.1
1927	783.720156555773	6.0
1928	464.1009009009009	5.9
1929	333.9605026929982	6.2
1930	423.3660030627871	6.2
1931	1059.0170157068062	6.2
1932	620.2034682080924	6.3
1933	684.3320848938827	6.1
1934	543.3359288097887	6.1
1935	519.3826679649464	6.1
1936	697.3462998102467	6.1
1937	628.6442577030813	6.2
1938	527.0844155844156	6.2
1939	1442.0161596958176	6.2
1940	1397.9761668321748	6.2
1941	1400.5091277890467	6.2
1942	1394.91991991992	6.2
1943	563.0311203319502	6.2
1944	1054.908302354399	6.2
1945	931.9781420765028	6.2
1946	1715.7058823529412	6.3
1947	801.5649651972158	6.3
1948	1282.1310418904404	6.3
1949	874.4627709707822	6.3
1950	1332.6787658802177	6.3
1951	1104.796712802768	6.2
1952	983.4947552447552	6.2
1953	1148.2631578947369	6.2
1954	1745.2234375	6.3
1955	1174.495181616012	6.3
1956	943.4693583273252	6.2
1957	1815.4692158133507	6.3
1958	1036.692007797271	6.3
1959	1395.576025236593	6.3
1960	1484.5700245700245	6.3
1961	1028.3197910621009	6.4
1962	1357.257481648786	6.4
1963	1220.986849628359	6.4
1964	1376.538219895288	6.4
1965	1002.189393939394	6.4
1966	1254.959847036329	6.4
1967	1138.9371800837598	6.4
1968	1381.6538295110342	6.3
1969	808.2366964665815	6.2
1970	776.372131147541	6.1
1971	1478.993161705551	6.1
1972	1662.7123287671234	6.1
1973	1486.8837209302326	6.1
1974	1632.0865834633385	6.1
1975	1979.1059071729958	6.1
1976	1743.86630113876	6.2
1977	1729.828968903437	6.2
1978	1398.770505050505	6.2
1979	1989.88558692422	6.2
1980	2440.370314274896	6.2
1981	1882.2049736247175	6.2
1982	2145.9981936416184	6.2
1983	2048.689045936396	6.2
1984	2790.3826241134752	6.2
1985	2684.545648312611	6.2
1986	2668.984321745058	6.1
1987	2780.536036036036	6.1
1988	2986.759323096208	6.1
1989	2898.6689462231893	6.1
1990	3422.930680359435	6.1
1991	3005.797060662914	6.2
1992	3411.911376087657	6.2
1993	4174.957051282051	6.1
1994	6089.34720050047	6.1
1995	5299.077300259591	6.1
1996	3798.3111359820928	6.2
1997	5276.105738575983	6.2
1998	5066.394223460857	6.1
1999	6194.755962418694	6.1
2000	5188.453561767358	6.2
2001	5751.9009900990095	6.2
2002	5438.582922500493	6.3
2003	5356.918197311115	6.3
2004	5904.636140350877	6.3
2005	4735.180728591705	6.3
2006	5037.819643379129	6.3
2007	5098.152094972067	6.3
2008	4928.108243451464	6.3
2009	4429.498343979181	6.3
2010	4524.759939898289	6.3
2011	4446.139873621078	6.3
2012	4279.524551268826	6.3
2013	4637.647094370027	6.3
2014	4398.226898704247	6.3
2015	3347.595973398925	6.3
2016	3491.7287642233396	6.3
2017	3091.6612957651428	6.3
2018	2851.506737409466	6.2
2019	2972.6585223967422	6.2
2020	1848.601797334986	6.2
2021	2507.5732237796037	6.3
2022	2337.770206158889	6.4
2023	1971.513452914798	6.5
2024	1162.8855507868384	6.9
